institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student 
inmantec business school,post graduate diploma in management,"Others, XAT, Others, CAT, MAT",10:NA|2:NA|10:NA|1:NA|4:NA,ghaziabad,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,490000
abs academy of science technology and management,master of business administration,"CAT, MAT, JMAT",1:NA|4:NA|19:NA,durgapur,2,India,2 Years,0,"Finance, Marketing, Human Resources",west bengal,224000
maharishi institute of management,master of business administration,"MAT, CAT, Others, XAT",4:NA|1:NA|10:NA|2:NA,,2,India,2 Years,0,"Finance, Marketing, Human Resources, International Business, Retail Management",uttar pradesh,240000
indian institute of plantation management,post graduate diploma in agri business management,"CAT, MAT, ATMA, CMAT, GMAT",1:NA|4:NA|11:NA|3:NA|5:NA,bangalore,2,India,2 Years,0,Agri \/ Food \/ Rural Business,karnataka,800000
community institute of management studies,master of business administration,"CAT, CMAT, GMAT, IIFT, XAT, MAT, ATMA, KMAT",1:NA|3:NA|5:NA|20:NA|2:NA|4:NA|11:NA|14:NA,bangalore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Agri \/ Food \/ Rural Business, Entrepreneurship & Family Business",karnataka,420000
prism school of business and entrepreneurship,post graduate diploma in healthcare and hospital management,"CAT, MAT, XAT, ATMA, Others",1:NA|4:NA|2:NA|11:NA|10:NA,bhilai,2,India,2 Years,0,"Information Technology, Healthcare \/ Hospital \/ Pharma",chattisgarh,115000
institute of advanced management and research,post graduate diploma in management,"MAT, CAT, XAT, CMAT, ATMA, JMET, Others",4:NA|1:NA|2:NA|3:NA|11:NA|18:NA|10:NA,ghaziabad,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,485000
rungta college of engineering and technology,master of business administration,"CMAT, CAT, MAT, XAT, JMET, ATMA",3:NA|1:NA|4:NA|2:NA|18:NA|11:NA,bhilai,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",chattisgarh,127000
iimt school of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,gurgaon,2,India,2 Years,0,"Finance, Marketing, Human Resources, International Business, Entrepreneurship & Family Business",haryana,327000
school of business studies sharda university,master of business administration,"Others, MAT, XAT, CAT",10:NA|4:NA|2:NA|1:NA,,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics, Healthcare \/ Hospital \/ Pharma, International Business",uttar pradesh,500000
aashlar business school,master of business administration,"CMAT, CAT, MAT, XAT",3:NA|1:NA|4:NA|2:NA,mathura,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,116000
ntpc school of business,executive pgdm,"CAT, GMAT",1:NA|5:NA,,1,India,1 Year,0,"General Management, Power \/ Energy \/ Oil \/ Gas",uttar pradesh,1500000
medi caps university,master of business administration,"Others, CMAT, Others, CAT",10:NA|3:NA|10:NA|1:NA,indore,2,India,2 Years,0,"Finance, Marketing, Human Resources, International Business, Entrepreneurship & Family Business",madhya pradesh,160000
itm school of business,master of business administration,"CMAT, MAT, XAT, ATMA, CAT, Others",3:NA|4:NA|2:NA|11:NA|1:NA|10:NA,gwalior,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",madhya pradesh,290000
niis institute of business administration,master of business administration,"Others, CAT, MAT, XAT, ATMA, CMAT",10:NA|1:NA|4:NA|2:NA|11:NA|3:NA,bhubaneshwar,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",orissa,0
aima centre for management education,post graduate diploma in information technology management,"CAT, CMAT, XAT, ATMA, MAT",1:NA|3:NA|2:NA|11:NA|4:NA,new delhi,2,India,2 Years,0,"Information Technology, Human Resources, Business Analytics, E-Commerce",delhi,102000
school of management services ansal university,master of business administration,"CAT, MAT, XAT, CMAT, Others, NMAT",1:NA|4:NA|2:NA|3:NA|10:NA|8:NA,gurgaon,2,India,2 Years,0,"Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",haryana,377000
hrit group of institutions,master of business administration,"CAT, MAT, XAT, GMAT",1:NA|4:NA|2:NA|5:NA,ghaziabad,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,158000
iilm academy of higher learning,post graduate diploma in management,"CAT, MAT, CMAT, XAT, ATMA, JMET",1:NA|4:NA|3:NA|2:NA|11:NA|18:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",uttar pradesh,470000
international institute for special education,post graduate diploma in management,"CAT, MAT, XAT, CMAT, GMAT, ATMA",1:NA|4:NA|2:NA|3:NA|5:NA|11:NA,lucknow,2,India,2 Years,0,"Finance, Information Technology, Human Resources",uttar pradesh,360000
techno institute of management sciences,post graduate diploma in management,"CAT, MAT, XAT",1:NA|4:NA|2:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,426000
rajadhani business school,master of business administration,"CMAT, MAT, CAT",3:NA|4:NA|1:NA,thiruvananthapuram,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",kerala,360000
parul institute of management and research,master of business administration,"MAT, CAT, Others, CMAT",4:NA|1:NA|10:NA|3:NA,vadodara,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",gujarat,130000
parul institute of management,post graduate diploma in management,"MAT, Others, CAT, CMAT",4:NA|10:NA|1:NA|3:NA,vadodara,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",gujarat,250000
parul institute of management,master of business administration,"MAT, CAT, Others, CMAT",4:NA|1:NA|10:NA|3:NA,vadodara,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",gujarat,136000
raipur institute of technology,master of business administration,"MAT, CAT, CMAT, XAT, ATMA",4:NA|1:NA|3:NA|2:NA|11:NA,raipur,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",chattisgarh,0
ritee business school,post graduate diploma in management,"CAT, MAT, ATMA, XAT, CMAT",1:NA|4:NA|11:NA|2:NA|3:NA,raipur,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Agri \/ Food \/ Rural Business, Retail Management",chattisgarh,0
st kabir institute of professional studies,post graduate diploma in management,"CMAT, CAT, XAT, GMAT, MAT",3:NA|1:NA|2:NA|5:NA|4:NA,ahmedabad,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",gujarat,445000
nerim group of institutions,master of business administration,"MAT, CAT, Others",4:NA|1:NA|10:NA,guwahati,2,India,2 Years,0,"Marketing, Human Resources, Entrepreneurship & Family Business",assam,320000
nerim group of institutions,post graduate diploma in management,"CAT, MAT",1:NA|4:NA,guwahati,2,India,2 Years,0,"Marketing, Information Technology, Human Resources",assam,204000
isttm technology business school,master of business administration,"CAT, XAT, GMAT, MAT, Others, Others",1:NA|2:NA|5:NA|4:NA|10:NA|10:NA,hyderabad,2,India,2 Years,0,"Finance, Marketing, Human Resources, Business Analytics, Digital Media, Infrastructure \/ Real Estate",Telangana,0
lingaya's university,master of business administration,"CAT, CMAT, MAT, Others",1:NA|3:NA|4:NA|10:NA,,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",haryana,313000
national institute of management and technology,master of business administration,"CAT, GMAT, MAT, ",1:NA|5:NA|4.:NA,,2,India,2 Years,0,"Finance, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,192000
ambalika institute of management and technology,master of business administration,"CMAT, CAT, MAT",3:NA|1:NA|4:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,174000
jaipur national university,master of business administration,"MAT, CAT, CMAT, XAT, Others",4:NA|1:NA|3:NA|2:NA|10:NA,jaipur,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",rajasthan,300000
jaipur national university,master of business administration,"MAT, CAT, CMAT, XAT, Others",4:NA|1:NA|3:NA|2:NA|10:NA,jaipur,2,India,2 Years,0,Healthcare \/ Hospital \/ Pharma,rajasthan,340000
gandhi institute of management studies,master of business administration,"CAT, MAT, XAT, Others",1:NA|4:NA|2:NA|10:NA,gunupur,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",orissa,0
indian institute of engineering science and technology,master of business administration,"MAT, CAT, CMAT, XAT, GMAT",4:NA|1:NA|3:NA|2:NA|5:NA,howrah,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",west bengal,100000
south point institute of technology and management,master of business administration,CAT,1:NA,sonepat,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Healthcare \/ Hospital \/ Pharma, International Business, E-Commerce, Entrepreneurship & Family Business",haryana,120000
faculty of management studies doranda college,master of business administration,"CAT, XAT, MAT, ATMA, CMAT",1:NA|2:NA|4:NA|11:NA|3:NA,ranchi,2,India,2 Years,0,"Marketing, Information Technology, Human Resources, Agri \/ Food \/ Rural Business",jharkhand,80000
maharishi arvind institute of science management,post graduate diploma in management,"CAT, MAT, ATMA",1:NA|4:NA|11:NA,jaipur,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",rajasthan,250000
mjrp college of corporate management,master of business administration,CAT,1:NA,jaipur,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, Retail Management",rajasthan,140000
mjrp college of corporate management,master of business administration,CAT,1:NA,jaipur,2,India,2 Years,0,Healthcare \/ Hospital \/ Pharma,rajasthan,160000
don bosco institute of management,master of business administration,"CMAT, CAT, MAT, XAT, GMAT",3:NA|1:NA|4:NA|2:NA|5:NA,guwahati,2,India,2 Years,0,"Marketing, Operations \/ SCM \/ Production, Human Resources, General Management",assam,306000
j.d. women's college,master of business administration,"CMAT, MAT, CAT, XAT",3:NA|4:NA|1:NA|2:NA,patna,2,India,2 Years,0,"Marketing, Human Resources",bihar,35000
gupta institute of management and technology,master of business administration,"CAT, PGCET, KMAT",1:NA|17:NA|14:NA,bangalore,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",karnataka,250000
mats institute of management and entrepreneurship,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,0,"Finance, Marketing, Human Resources, International Business",karnataka,850000
institute of excellence in management science iems b school,master of business administration,"CAT, MAT, XAT, GMAT, PGCET, CMAT, KMAT, ATMA",1:NA|4:NA|2:NA|5:NA|17:NA|3:NA|14:NA|11:NA,hubli,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",karnataka,110000
central college of engineering and management,master of business administration,"CAT, CMAT, XAT, MAT",1:NA|3:NA|2:NA|4:NA,raipur,2,India,2 Years,0,"Finance, Marketing, Human Resources",chattisgarh,100000
shivalik institute of management and education research,post graduate diploma in management,"CAT, MAT, ATMA, JMET, XAT",1:NA|4:NA|11:NA|18:NA|2:NA,durg,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Agri \/ Food \/ Rural Business, Retail Management",chattisgarh,180000
institute of management pt. ravishankar shukla university,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,raipur,2,India,2 Years,0,"Finance, Marketing, Human Resources",chattisgarh,0
dr. b. c. roy engineering college,master of business administration,"MAT, JMAT, CAT, CMAT",4:NA|19:NA|1:NA|3:NA,durgapur,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",west bengal,250000
the icfai university,master of business administration,"CMAT, CAT",3:NA|1:NA,raipur,2,India,2 Years,0,"Finance, Marketing, Human Resources",chattisgarh,166000
the icfai university,master of business administration,"Others, CAT, Others, GMAT, GRE, Others",10:NA|1:NA|10:NA|5:NA|6:NA|10:NA,gangtok,2,India,2 Years,0,"Marketing, Human Resources",sikkim,200000
jyotirmoy school of business,post graduate diploma in management,"CAT, MAT, XAT, CMAT, ATMA, JMET",1:NA|4:NA|2:NA|3:NA|11:NA|18:NA,kolkata,2,India,2 Years,0,"Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",west bengal,400000
eastern institute of management,master of business administration,"MAT, CAT",4:NA|1:NA,kolkata,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",west bengal,450000
ims business school,master of business administration,"MAT, CAT, XAT, JMAT, CMAT",4:NA|1:NA|2:NA|19:NA|3:NA,kolkata,2,India,2 Years,0,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma",west bengal,300000
svran apeejay institute of management and design,post graduate diploma in management,"CAT, XAT, MAT, GMAT",1:NA | 2:NA | 4:NA | 5:NA | ,gurgaon,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",haryana,550000
dronacharya institute of management and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,kurukshetra,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",haryana,74000
hindu institute of management,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,sonepat,2,India,2 Years,0,"Finance, Marketing, Human Resources, International Business",haryana,86000
shri krishan institute of engineering and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,kurukshetra,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",haryana,91000
haryana engineering college,master of business administration,"CAT, MAT, CMAT",1:NA|4:NA|3:NA,yamunanagar,2,India,2 Years,0,"Finance, Marketing, Human Resources",haryana,90000
kurukshetra institute of technology and management,master of business administration,"CAT, MAT, XAT",1:NA|4:NA|2:NA,pehowa,2,India,2 Years,0,"Marketing, Human Resources, International Business",haryana,75000
ngf college of engineering and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",haryana,0
gurgaon institute of technology and management,master of business administration,CAT,1:NA | ,gurgaon,2,India,2 Years,0,"Finance, Marketing, Human Resources",haryana,166000
ramanujan college of management,master of business administration,"MAT, CMAT, CAT, ATMA, JMET",4:NA|3:NA|1:NA|11:NA|18:NA,palwal,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",haryana,0
ramanujan college of management,post graduate diploma in management,"MAT, CMAT, CAT, ATMA, JMET",4:NA|3:NA|1:NA|11:NA|18:NA,palwal,2,India,2 Years,0,"Marketing, Operations \/ SCM \/ Production, Human Resources",haryana,0
guru gram business school,master of business administration,"MAT, CAT, XAT",4:NA|1:NA|2:NA,,2,India,2 Years,0,"Marketing, Information Technology, Human Resources, International Business, Retail Management",haryana,180000
shriram institute of management and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,roorkee,2,India,2 Years,0,"Finance, Marketing, Human Resources, International Business",uttarakhand,134000
department of management studies kumaun university,master of business administration,"MAT, CMAT, CAT",4:NA|3:NA|1:NA,bhimtal,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttarakhand,110000
vision school of management,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,chittorgarh,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",rajasthan,0
shri vaishnav institute of management,master of business administration,CAT,1:NA,indore,2,India,2 Years,0,"Finance, Marketing, Human Resources",madhya pradesh,144000
laxmipati institute of science and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,bhopal,2,India,2 Years,0,"Marketing, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business, Retail Management",madhya pradesh,0
vns business school,post graduate diploma in management,"CAT, MAT, ATMA, XAT, CMAT",1:NA|4:NA|11:NA|2:NA|3:NA,bhopal,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business, Retail Management",madhya pradesh,0
pt. jawaharlal nehru of business management vikram university,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,ujjain,2,India,2 Years,0,"Finance, Marketing, Human Resources",madhya pradesh,0
gyan ganga college of technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,jabalpur,2,India,2 Years,0,"Finance, Marketing, Human Resources",madhya pradesh,120000
teerthanker mahaveer institute of management and technology,master of business administration,"CAT, CMAT, MAT",1:NA|3:NA|4:NA,moradabad,2,India,2 Years,0,General Management,uttar pradesh,252000
iec college of engineering and technology,master of business administration,"CAT, XAT, MAT, ATMA",1:NA | 2:NA | 4:NA | 11:NA | ,,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,172000
institute of management and research,post graduate diploma in management,"CAT, MAT, XAT, ATMA",1:NA|4:NA|2:NA|11:NA,ghaziabad,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business, Retail Management",uttar pradesh,0
institute of management and research,master of business administration,"CAT, MAT, XAT, ATMA, UPSEE",1:NA|4:NA|2:NA|11:NA|15:NA,ghaziabad,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,0
lakshmi narain college of technology,master of business administration,"CAT, MAT, XAT, CMAT",1:NA|4:NA|2:NA|3:NA,indore,2,India,2 Years,0,"Finance, Marketing, Human Resources",madhya pradesh,120000
ewing christian institute of management and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,allahabad,2,India,2 Years,0,"Marketing, Information Technology, Human Resources, International Business",uttar pradesh,0
lal bahadur shastri institute of management and development studies,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,136000
sherwood business school,post graduate diploma in management,"CAT, MAT, XAT, ATMA, JMET, CMAT",1:NA|4:NA|2:NA|11:NA|18:NA|3:NA,faizabad,2,India,2 Years,0,"Marketing, Information Technology, Human Resources, International Business",uttar pradesh,0
hindustan institute of management and computer studies,master of business administration,"CAT, MAT, Others",1:NA|4:NA|10:NA,mathura,2,India,2 Years,0,"Marketing, Information Technology, Human Resources, International Business",uttar pradesh,173000
institute of computer science and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,varanasi,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",uttar pradesh,170000
institute of management education,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,ghaziabad,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",uttar pradesh,0
bsa college of engineering and technology,master of business administration,"CAT, MAT, CMAT",1:NA|4:NA|3:NA,mathura,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,173000
maharana pratap engineering college,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,kanth,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,192000
pranveer singh institute of technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,kanpur,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,0
subharti institute of management and commerce,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",uttar pradesh,0
shri ram institute of technology and management,master of business administration,"CMAT, CAT, MAT, UPSEE",3:NA|1:NA|4:NA|15:NA,muzaffarnagar,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,0
aryakul college of management,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,163000
trivedi institute of management and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,fatehpur,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,130000
sir madanlal institute of management studies,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,ekdil,2,India,2 Years,0,"Marketing, Information Technology, Human Resources, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,0
institute of pharmaceutical sciences and research,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,unnao,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,0
,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,kanpur,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,0
aryakul college of management,post graduate diploma in management,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,181000
sai ram institute of business and management studies,post graduate diploma in management,"CMAT, MAT, CAT, XAT, ATMA",3:NA|4:NA|1:NA|2:NA|11:NA,mathura,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, International Business",uttar pradesh,180000
jaipuria institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business, Retail Management",uttar pradesh,1025000
,post graduate diploma in management,"CAT, XAT, MAT, GMAT",1:NA|2:NA|4:NA|5:NA,bangalore,2,India,2 Years,0,"Information Technology, Business Analytics, Healthcare \/ Hospital \/ Pharma, International Business",karnataka,975000
prin l.n. welingkar institute of management development and research,post graduate diploma in business design management,"CAT, XAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 5:NA | 7:NA | 11:NA | ,bangalore,2,India,2 Years,0,Others,karnataka,1100000
taxila business school,post graduate diploma in data analytics management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,jaipur,2,India,2 Years,0,Information Technology,rajasthan,800000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,0,Power \/ Energy \/ Oil \/ Gas,uttarakhand,1157000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,0,Power \/ Energy \/ Oil \/ Gas,uttarakhand,1157000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,0,International Business,uttarakhand,1157000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,0,Power \/ Energy \/ Oil \/ Gas,uttarakhand,1157000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,0,Business Analytics,uttarakhand,1157000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,0,Operations \/ SCM \/ Production,uttarakhand,1157000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,0,Operations \/ SCM \/ Production,uttarakhand,1157000
university of petroleum and energy studies,master of business administration,"CAT, XAT, CMAT, MAT, NMAT, Others",1:NA | 2:NA | 3:NA | 4:NA | 8:NA | 10:NA | ,dehradun,2,India,2 Years,0,Infrastructure \/ Real Estate,uttarakhand,1236000
ramachandran international institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA|2:NA|3:NA|4:NA|7:NA|11:NA,pune,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",maharashtra,725000
aryans business school ,master of business administration,"MAT, CAT, XAT",4:NA|1:NA|2:NA,patiala,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Business Analytics",punjab,180000
som lalit institute of management studies,post graduate diploma in management,"MAT, CMAT, CAT",4:NA|3:NA|1:NA,ahmedabad,2,India,2 Years,0,"Finance, Marketing",gujarat,0
acn college of engineering and management studies,master of business administration,"CAT, XAT, MAT",1:NA|2:NA|4:NA,aligarh,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,90000
devprayag institute of management,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,allahabad,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,0
hmfa memorial institute of engineering and technology,master of business administration,"CAT, CMAT, MAT, KMAT",1:NA | 3:NA | 4:NA | 14:NA | ,allahabad,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,116000
mahatma gandhi mission institute of management,master of business administration,"CAT, MH-CET",1:NA|7:NA,aurangabad,2,India,2 Years,0,"Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,186000
shreeyash college of engineering and technology,master of business administration,"CAT, MAT, XAT, GMAT, ATMA, Others",1:NA|4:NA|2:NA|5:NA|11:NA|10:NA,aurangabad,2,India,2 Years,0,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",maharashtra,0
indian institute of plantation management,post graduate diploma in food processing and business management,"CAT, CMAT, MAT, ATMA",1:NA  | 3:NA  | 4:NA  | 11:NA  | ,bangalore,2,India,2 Years,0,Agri \/ Food \/ Rural Business,karnataka,1448000
guru nanak college,master of business administration,"CAT, XAT, TANCET",1:NA|2:NA|16:NA,chennai,2,India,2 Years,0,"Finance, Marketing, Human Resources",tamil nadu,150000
adi shankara institute of engineering technology,master of business administration,"CMAT, CAT, KMAT",3:NA|1:NA|14:NA,cochin,2,India,2 Years,0,"Finance, Marketing, Human Resources",kerala,240000
bharata mata college,master of business administration,"CMAT, CAT, KMAT",3:NA|1:NA|14:NA,cochin,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",kerala,280000
de paul institute of science and technology school of management,master of business administration,"CMAT, CAT, KMAT",3:NA|1:NA|14:NA,cochin,2,India,2 Years,0,"Finance, Marketing, Human Resources",kerala,0
