,College Name,GPA,Verbal,Quants,Writing,Cluster
316,San Francisco State University (SFSU),3.543125,157.9375,154.375,4.109375,1
317,San Jose State University (SJSU),3.414166667,156.5,155,4.25,1
318,Santa Clara University,3.046666667,153.1666667,160.3333333,3.833333333,0
319,"Sauder School Of Business, UBC",3,162,165,4,3
320,School Of Education University Of Pennsylvania,3.62,160,161,3.5,3
321,Seattle University,3.5,155.6666667,154.6666667,4.333333333,1
322,Sen Diego State University California,4,143,161,2.3,0
323,Seton Hall University,3.716428571,153.5357143,151.3571429,4.285714286,4
324,Shanghai Normal University,3.4,150,165,3.5,0
325,Shenandoah University,3.55,147,150,3.5,4
326,Shenzhen University,3.65,151,160,3,0
327,Simon Fraser University (SFU),3.476923077,157.8461538,165.7692308,4,3
328,South Carolina State University,3.2875,146.75,145.25,4.25,4
329,Southeastern Louisiana University,3.3975,158.5,148.25,3.625,1
330,Southeastern University In Louisiana,3.85,148,152,4,4
331,Southern CT State University,3.825,153.5,147.5,4.25,4
332,Southern Connecticut State University,3.604,157.05,151.35,4.6,1
333,Southern Illinois University,3.735428571,152.3142857,150.5428571,3.9,4
334,"Southern Illinois University, Edwardsville (SIUE)",3.14,145,165,3,0
335,Southern Methodist University,3.716666667,160.3333333,158.6666667,5,3
336,Southern University And A&M College,3.2,146,147,3,4
337,Spalding University,3.62,153,149,4,4
338,St Bonaventure University,4,165,151,5,2
339,St. Ambrose University,3.535,149,150,4.5,4
340,St. Cloud State University,3.731666667,157.3333333,149.3333333,4.416666667,1
341,St. Cloud University,3.82,155,150,4,4
342,St. Johns University,3.641176471,153.1176471,150.8235294,4.441176471,4
343,St. Louis University,3.795,155.25,153.375,4.75,1
344,St. Xavier University,3.6325,156.3333333,152,4.583333333,1
345,Stanford University,3.80127572,161.6584362,164.4074074,4.358024691,3
346,State University Of New York - New Paltz,3.65,155,147,4,4
347,Stephen F. Austin State University,3.4,166,153,4.5,2
348,Stephen F. Austin University,3.1,149,152,3.5,4
349,Stockton University,3.87,150,145,4,4
350,Suffolk University,3.5,154,155,4.25,1
351,Syracuse University,3.538415842,157.1089109,155.5742574,4.271287129,1
352,TU Delft,3.566666667,156.8333333,165.8333333,3.666666667,3
353,TU Munich,3.493333333,154.3333333,160.1666667,3.583333333,0
354,"Taubman College, University Of Michigan",3.3,151,153,3.5,4
355,Teachers College Columbia Universiy,3.83,153,170,3,0
356,Technical University Of Denmark,3.066666667,157.6666667,165.3333333,3.333333333,3
357,Temple University,3.683888889,156.3703704,154.3148148,4.305555556,1
